YEAR_WEEK,is_last_week,IS_JANUARY,IS_FEBRUARY,IS_MARCH,IS_APRIL,IS_MAY,IS_JUNE,IS_JULY,IS_AUGUST,IS_SEPTEMBER,IS_OCTOBER,IS_NOVEMBER,IS_DECEMBER
201934,0,0,0,0,0,0,0,0,1,0,0,0,0
201935,0,0,0,0,0,0,0,0,1,0,0,0,0
201936,0,0,0,0,0,0,0,0,0,1,0,0,0
201937,0,0,0,0,0,0,0,0,0,1,0,0,0
201938,0,0,0,0,0,0,0,0,0,1,0,0,0
201939,0,0,0,0,0,0,0,0,0,1,0,0,0
201940,0,0,0,0,0,0,0,0,0,0,1,0,0
201941,0,0,0,0,0,0,0,0,0,0,1,0,0
201942,0,0,0,0,0,0,0,0,0,0,1,0,0
201943,0,0,0,0,0,0,0,0,0,0,1,0,0
201944,0,0,0,0,0,0,0,0,0,0,1,0,0
201945,0,0,0,0,0,0,0,0,0,0,0,1,0
201946,0,0,0,0,0,0,0,0,0,0,0,1,0
201947,0,0,0,0,0,0,0,0,0,0,0,1,0
201948,0,0,0,0,0,0,0,0,0,0,0,1,0
201949,0,0,0,0,0,0,0,0,0,0,0,0,1
201950,0,0,0,0,0,0,0,0,0,0,0,0,1
201951,0,0,0,0,0,0,0,0,0,0,0,0,1
201952,1,0,0,0,0,0,0,0,0,0,0,0,1
202001,0,1,0,0,0,0,0,0,0,0,0,0,0
202002,0,1,0,0,0,0,0,0,0,0,0,0,0
202003,0,1,0,0,0,0,0,0,0,0,0,0,0
202004,0,1,0,0,0,0,0,0,0,0,0,0,0
202005,0,1,0,0,0,0,0,0,0,0,0,0,0
202006,0,0,1,0,0,0,0,0,0,0,0,0,0
202007,0,0,1,0,0,0,0,0,0,0,0,0,0
202008,0,0,1,0,0,0,0,0,0,0,0,0,0
202009,0,0,1,0,0,0,0,0,0,0,0,0,0
202010,0,0,0,1,0,0,0,0,0,0,0,0,0
202011,0,0,0,1,0,0,0,0,0,0,0,0,0
202012,0,0,0,1,0,0,0,0,0,0,0,0,0
202013,0,0,0,1,0,0,0,0,0,0,0,0,0
202014,0,0,0,0,1,0,0,0,0,0,0,0,0
202015,0,0,0,0,1,0,0,0,0,0,0,0,0
202016,0,0,0,0,1,0,0,0,0,0,0,0,0
202017,0,0,0,0,1,0,0,0,0,0,0,0,0
202018,0,0,0,0,1,0,0,0,0,0,0,0,0
202019,0,0,0,0,0,1,0,0,0,0,0,0,0
202020,0,0,0,0,0,1,0,0,0,0,0,0,0
202021,0,0,0,0,0,1,0,0,0,0,0,0,0
202022,0,0,0,0,0,1,0,0,0,0,0,0,0
202023,0,0,0,0,0,0,1,0,0,0,0,0,0
202024,0,0,0,0,0,0,1,0,0,0,0,0,0
202025,0,0,0,0,0,0,1,0,0,0,0,0,0
202026,0,0,0,0,0,0,1,0,0,0,0,0,0
202027,0,0,0,0,0,0,0,1,0,0,0,0,0
202028,0,0,0,0,0,0,0,1,0,0,0,0,0
202029,0,0,0,0,0,0,0,1,0,0,0,0,0
202030,0,0,0,0,0,0,0,1,0,0,0,0,0
202031,0,0,0,0,0,0,0,1,0,0,0,0,0
202032,0,0,0,0,0,0,0,0,1,0,0,0,0
202033,0,0,0,0,0,0,0,0,1,0,0,0,0
202034,0,0,0,0,0,0,0,0,1,0,0,0,0
202035,0,0,0,0,0,0,0,0,1,0,0,0,0
202036,0,0,0,0,0,0,0,0,0,1,0,0,0
202037,0,0,0,0,0,0,0,0,0,1,0,0,0
202038,0,0,0,0,0,0,0,0,0,1,0,0,0
202039,0,0,0,0,0,0,0,0,0,1,0,0,0
202040,0,0,0,0,0,0,0,0,0,1,0,0,0
202041,0,0,0,0,0,0,0,0,0,0,1,0,0
202042,0,0,0,0,0,0,0,0,0,0,1,0,0
202043,0,0,0,0,0,0,0,0,0,0,1,0,0
202044,0,0,0,0,0,0,0,0,0,0,1,0,0
202045,0,0,0,0,0,0,0,0,0,0,0,1,0
202046,0,0,0,0,0,0,0,0,0,0,0,1,0
202047,0,0,0,0,0,0,0,0,0,0,0,1,0
202048,0,0,0,0,0,0,0,0,0,0,0,1,0
202049,0,0,0,0,0,0,0,0,0,0,0,0,1
202050,0,0,0,0,0,0,0,0,0,0,0,0,1
202051,0,0,0,0,0,0,0,0,0,0,0,0,1
202052,0,0,0,0,0,0,0,0,0,0,0,0,1
202053,1,0,0,0,0,0,0,0,0,0,0,0,1
202101,0,1,0,0,0,0,0,0,0,0,0,0,0
202102,0,1,0,0,0,0,0,0,0,0,0,0,0
202103,0,1,0,0,0,0,0,0,0,0,0,0,0
202104,0,1,0,0,0,0,0,0,0,0,0,0,0
202105,0,0,1,0,0,0,0,0,0,0,0,0,0
202106,0,0,1,0,0,0,0,0,0,0,0,0,0
202107,0,0,1,0,0,0,0,0,0,0,0,0,0
202108,0,0,1,0,0,0,0,0,0,0,0,0,0
202109,0,0,0,1,0,0,0,0,0,0,0,0,0
202110,0,0,0,1,0,0,0,0,0,0,0,0,0
202111,0,0,0,1,0,0,0,0,0,0,0,0,0
202112,0,0,0,1,0,0,0,0,0,0,0,0,0
202113,0,0,0,1,0,0,0,0,0,0,0,0,0
202114,0,0,0,0,1,0,0,0,0,0,0,0,0
202115,0,0,0,0,1,0,0,0,0,0,0,0,0
202116,0,0,0,0,1,0,0,0,0,0,0,0,0
202117,0,0,0,0,1,0,0,0,0,0,0,0,0
202118,0,0,0,0,0,1,0,0,0,0,0,0,0
202119,0,0,0,0,0,1,0,0,0,0,0,0,0
202120,0,0,0,0,0,1,0,0,0,0,0,0,0
202121,0,0,0,0,0,1,0,0,0,0,0,0,0
202122,0,0,0,0,0,0,1,0,0,0,0,0,0
202123,0,0,0,0,0,0,1,0,0,0,0,0,0
202124,0,0,0,0,0,0,1,0,0,0,0,0,0
202125,0,0,0,0,0,0,1,0,0,0,0,0,0
202126,0,0,0,0,0,0,1,0,0,0,0,0,0
